Week_Year;Person1;Gender1;Occupation1;OccupationCategory1;Age1;HousingUnit1;Rooms1;Roommates1;Changes1;Consistencies1;Person2;Gender2;Age2;Occupation2;OccupationCategory2;HousingUnit2;Rooms2;Roommates2;Changes2;Consistencies2;;
13-20;entfallt;;;;;;;;;;;;;;;;;;;;;
14-20;entfallt;;;;;;;;;;;;;;;;;;;;;
15-20;entfallt;;;;;;;;;;;;;;;;;;;;;
16-20;entfallt;;;;;;;;;;;;;;;;;;;;;
17-20;entfallt ;;;;;;;;;;;;;;;;;;;;;
18-20;entfallt ;;;;;;;;;;;;;;;;;;;;;
19-20;Person 17.1;m;Architekt;B (berufstatig);30-45;flat;3.5;2;Keine;Keine;Person 17.2;w;30-45;Polygrafin;B (berufstatig);flat;3.5;2;Keine;Keine;;
20-20;Person 18.1;m;Holzbauingenieur ;B (berufstatig);30-45;house;6.5;4;Keine;Keine;Person 18.2;w;30-45;Projektleiterin Marketing;B (berufstatig);house;6.5;4;Keine;Keine;;
21-20;entfallt ;;;;;;;;;;;;;;;;;;;;;
22-20;Person 20.1;w;Kommunikation;B (berufstatig);30-45;flat;10.5;8;Kinderzimmer;Kuche;Person 20.2;w;45-60;Projektentwicklerin;B (berufstatig);flat;>10;9;Kinderzimmer;Kuche;;
23-20;entfallt ;;;;;;;;;;;;;;;;;;;;;
24-20;Person 21.1;m;Produktdesigner ;B (berufstatig);30-45;flat;2.5;2;Wohnzimmer (Beamer);Kuche, Esszimmer, Arbeitszimmer;Person 21.2;w;30-45;Grafikdesignerin;B (berufstatig);flat;2.5;2;Wohnzimmer (Beamer);Kuche, Ess-, Arbeitszimmer;;
25-20;Person 22.1;w;Ergotherapeutin, Doktorandin;A (berufstatig);30-45;flat;3.5;2;Keine;Schlafzimmer;Person 22.2;m;30-45;Doktorand;A (studierend);flat;3.5;2;Keine;Schlafzimmer;;
26-20;Person 23;w;GIS-Ingenieurin;B (berufstatig);30-45;flat;2.5;1;Wohnzimmer (Arbeitsplatz);Keine;;;;;;;;;;;;
27-20;Person 24.1;w;Begabtenforderung;B (berufstatig);45-60;house;6.0;4;Schlafzimmer, Wohnzimmer;Kuche, Esszimmer;Person 24.2;m;45-60;Physiotherapeut;B (berufstatig);house;6.0;4;Schlafzimmer, Wohnzimmer;Kuche, Esszimmer;;
28-20;Person 25.1;w;Architekturpublizistin;B (berufstatig);45-60;house;3.5;2;Keine;Wohnzimmer, Schlafzimmer, Arbeitszimmer;;;;;;;;;;;;
29-20;Person 26.1;m;Kaufmannischer Angestellter, pensoniert;D (nicht-berufstatig);60-75;house;5.5;2;Keine;Keine;Person 26.2;w;60-75;Mode-Designerin;C (Teilzeit-berufstatig);house;5.5;2;Keine;Keine;;
30-20;Person 27;w;selbstst. Sozialarbeiterin, HR Management;C (Teilzeit-berufstatig);60-75;flat;3.5;2;Keine;Keine;;;;;;;;;;;;
31-20;Person 28.1;w;Research Associate (Forschung);B (berufstatig);30-45;flat;2.5;2;Schlafzimmer;Kuche, Esszimmer;Person 28.2;m;30-45;Application Scientist;B (berufstatig);flat;2.5;2;Schlafzimmer;Kuche, Bad;;
32-20;Person 29;w;Lebensmittelingenieurin;B (berufstatig);30-45;flat;4.5;2;Wohnzimmer (Bettsofa);Kuche;;;;;;;;;;;;
33-20;Person 30.1;m;Account Director;B (berufstatig);45-60;flat;3.5;2;Wintergarten;Kuche, Wohnzimmer, Schlafzimmer;Person 30.2;m;45-60;Leiter Administration;B (berufstatig);flat;3.5;2;Wintergarten;Kuche, Wohnzi, Schlafzi;;
34-20;Person 31.1;w;Architektin;B (berufstatig);45-60;flat;2.5;1;Esszimmer, Schlafzimmer, Wohnzimmer;Kuche;Person 31.2;m;45-60;Architekt, Bauherr;B (berufstatig);flat;2.5;1;Esszimmer, Schlafzimmer, Wohnzimmer;Kuche;;
35-20;Person 32.1;w;Projektleiterin;B (berufstatig);45-60;flat;4.5;2;Keine;Alle;Person 32.2;w;45-60;Sportlehrer, Videoproduzent;B (berufstatig);flat;4.5;2;Keine;Alles;;
36-20;Person 33;w;NGO Bildungsverantwortliche, Redaktorin;B (berufstatig);18-30;flat;2.5;1;Alle;Keine;;;;;;;;;;;;
37-20;Person 34.1;m;Verkaufsingenieur;B (berufstatig);45-60;flat;4.5;2;Terrasse;Wohnzimmer, Schlafzimmer, Arbeitszimmer, Kuche, Bad;Person 34.2;w;45-60;HR Leiterin;B (berufstatig);flat;4.5;2;Terrasse;Wohn, Schaf, Arbeitszi, Kuche, Bad;;
38-20;Person 35;m;Geschaftsfuhrer;B (berufstatig);45-60;house;;2;Keine;Keine;;;;;;;;;;;;
39-20;Person 36.1;w;Geschaftsfuhrerin;B (berufstatig);45-60;flat;4.5;2;Esszi, Wohnzi, Loggia, Gastezi;Badezimmer;Person 36.2;m;45-60;Dipl. ETH Arch. Consultant;B (berufstatig);flat;4.5;2;Esszimmer, Wohnzimmer, Loggia, Gastezimmer;Badezimmer;;
40-20;Person 37.1;w;Rentnerin;D (nicht-berufstatig);60-75;flat;4.5;2;Keine;Keine;Person 37.2;m;60-75;Rentner;D (nicht-berufstatig);flat;4.5;2;Keine;Keine;;
41-20;Person 38.1;w;Architektin;B (berufstatig);45-60;flat;5.5;4;fehlt;fehlt;Person 38.2;m;18-30;Schuler/Auszubildender/Student?;A (studierend);flat;5.5;4;fehlt;fehlt;;
42-20;Person 39.1;w;Naturwissenschaftlerin ETH pensioniert;D (nicht-berufstatig);60-75;;;;;;Person 39.2;;60-75;Architekt, Ergotherapeut, pensioniert;D (nicht-berufstatig);;;;;;;
43-20;Person 40;w;Hochbauzeichnerin;C (Teilzeit-berufstatig);60-75;flat;2.5;1;Wohnzimmer, Schlafzimmer;Badezimmer;;;;;;;;;;;;
44-20;Person 41.1;w;Arztin, Rentnerin;D (nicht-berufstatig);60-75;flat;4.5;1;Keine;Keine;;;;;;;;;;;;
45-20;Person 42.1;w;Enkelkinderbetreung;C (Teilzeit-berufstatig);60-75;house;5;2;;;Person 42.2;m;60-75;Informatiker, Häuser Umbau;B (berufstatig);house;5;2;;;;
46-20;Person 43.1;w;Verwaltungsangestellte;B (berufstatig);60-75;house;7;2;Wohnzimmer;Bad, Küche;Person 43.2;m;45-60;Beamter;B (berufstatig);house;7;2;Wohnzimmer;Bad, Küche;;
47-20;Person 44.1;m;IT-Architekt;B (berufstatig);45-60;flat;4.5;2;Keine;Alles;Person 44.2;w;45-60;Auszeit;D (nicht-berufstatig);flat;4.5;2;Keine;Alles;;
48-20;Person 45.1;m;Vize-Präsident Forschung;;45-60;;;;;;Person 45.2;w;;;;flat;4.5;4;Wohnzimmer (Wasche);Schlafzimmer;;
49-20;folgt;m;Pensioniert;D (nicht-berufstatig);60-75;;;;;;;;;;;;;;;;;
50-20;folgt;w;;;;;;;;;;;;;;;;;;;;
51-20;Person 48.1;m;ZHDK;;45-60;;;;;;;;;;;;;;;;;
52-20;Person 49.1;m;Business Coach (Rentner);D (nicht-berufstatig);45-60;flat;2.5;2;Ausser Kücher alles;Küche;Person 49.2;w;30-45;Ethmologin;D;flat;2.5;2;Wohnzimmer;Küche, Schlafzimmer;;
01-21;entfällt;;;;;;;;;;;;;;;;;;;;;
02-21;entfällt;;;;;;;;;;;;;;;;;;;;;
03-21;Person;m;Künstler;A;30-45;flat;3.5;2;Alles (Neubezug);keine;;;;;;;;;;;;
04-21;entfällt;m;Hilfsassistenz;C (Teilzeit-berufstatig);18-30;flat;3;2;Wohnzimmer, Schlafzimmer;Bad, Küche;Person;m;18-30;Hilfsassistent;C (Teilzeit-berufstatig);flat;3;2;Wohnzimmer;Bad, Küche, Schlafzimmer;;
05-21;Person;m;Arch.Student;A;18-30;flat;1.5;1;Keine;Keine;Person;w;18-30;Werkstudentin Soziolinguistik;A (studierend);flat;1.5;1;Keine;Alles;;
06-21;entfällt;;;;;;;;;;;;;;;;;;;;;
07-21;entfällt;;;;;;;;;;;;;;;;;;;;;
08-21;entfällt;m;Künstler;A;30-45;flat;3.5;2;Alles (Neubezug);keine;;;;;;;;;;;;
09-21;entfällt;m;Steinmetz;A;60-75;flat;5;2;Keine;Alle;;;;;;;;;;;;
10-21;entfällt;w;Consultant;B (berufstatig);18-30;flat;3.5;2;Terasse, Wohnzimmer;Bad, Küche;;;;;;;;;;;;
11-21;entfällt;m;WWF Schweiz;C (Teilzeit-berufstatig);45-60;house;6.5;2;Keine;Keine;;;;;;;;;;;;
12-21;entfällt;m;;B (berufstatig);30-45;house;6.5;1;Eingangsbereich, Wohnzimmer;Schlafzimmer;;;;;;;;;;;;
13-21;entfällt;m;Bankangestellter;B (berufstatig);30-45;flat;2.5;1;Keine;Teilweise;;;;;;;;;;;;
14-21;;;;;;;;;;;;;;;;;;;;;;
